"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
658,17.6906060904,-16.2663335840,1125.129,1000,635446.2,1000,635446.6,0.1,0.1%,907
659,17.6859775181,-16.2585317328,1125.427,995.08,636441.2,995.08,636441.7,0.0,0.0%,908
660,17.6828331652,-16.2502318727,1127.201,978.05,637419.3,978.05,637419.7,0.1,0.2%,909
661,17.6866136297,-16.2421403955,1126.231,982.39,638401.7,982.39,638402.1,0.1,0.1%,910
662,17.6841468204,-16.2344265601,1125.977,893.43,639295.1,893.43,639295.6,0.0,0.0%,911
663,17.6841943626,-16.2257568635,1128.453,959.41,640254.5,959.41,640255,0.1,0.3%,913
664,17.6833885342,-16.2167538553,1126.105,1000,641254.5,1000,641255,0.1,0.2%,913
665,17.6811275129,-16.2080565190,1125.597,992.35,642246.9,992.35,642247.3,0.0,0.1%,915
666,17.6748383154,-16.2013683407,1126.114,1000,643246.9,1000,643247.3,0.0,0.1%,915
667,17.6700976117,-16.1937448272,1128.549,984.21,644231.1,984.21,644231.5,0.1,0.2%,916
668,17.6697557891,-16.1856988816,1127.547,891.12,645122.2,891.12,645122.7,0.1,0.1%,917
669,17.6740728851,-16.1777584919,1129.098,992.58,646114.8,992.58,646115.2,0.1,0.2%,918
670,17.6750708827,-16.1690987197,1128.28,964.22,647079,964.22,647079.5,0.0,0.1%,920
671,17.6713469834,-16.1611788165,1133.488,962.66,648041.7,962.68,648042.1,0.3,0.5%,921
672,17.6706468039,-16.1525409747,1127.781,958.8,649000.5,958.81,649001,0.3,0.6%,922
673,17.6634204533,-16.1472813769,1128.247,967.53,649968,967.53,649968.5,0.0,0.0%,924
674,17.6578379282,-16.1402113973,1126.494,984.18,650952.2,984.18,650952.7,0.1,0.2%,925
675,17.6560870901,-16.1343864726,1126.204,671.24,651623.4,671.24,651623.9,0.0,0.0%,926
676,17.6634430377,-16.1288091806,1125.583,1000,652623.4,1000,652623.9,0.0,0.1%,926
677,17.6635922467,-16.1202494791,1127.718,947.35,653570.8,947.35,653571.3,0.1,0.2%,927
678,17.6660015249,-16.1120336033,1127.607,944.99,654515.8,944.99,654516.3,0.0,0.0%,929
679,17.6732926252,-16.1065220684,1126.143,990.12,655505.9,990.12,655506.4,0.1,0.1%,930
680,17.6755300799,-16.0979091221,1127.317,982.7,656488.6,982.7,656489.1,0.1,0.1%,931
681,17.6796503116,-16.0901928274,1126.767,960.95,657449.5,960.95,657450,0.0,0.1%,932
682,17.6747587727,-16.0833837284,1126.08,917.4,658366.9,917.4,658367.4,0.0,0.1%,935
683,17.6654671873,-16.0824042951,1125.7,1000,659366.9,1000,659367.4,0.0,0.0%,935
684,17.6571214596,-16.0793822935,1128.042,953.49,660320.4,953.49,660320.9,0.1,0.2%,936
685,17.6536891838,-16.0716368367,1128.782,932.47,661252.9,932.47,661253.4,0.0,0.1%,937
686,17.6528543587,-16.0626362202,1128.642,1000,662252.9,1000,662253.4,0.0,0.0%,937
687,17.6520195336,-16.0536356037,1126.962,1000,663252.9,1000,663253.4,0.1,0.2%,937
688,17.6487753522,-16.0451822563,1130.263,997.78,664250.7,997.79,664251.2,0.2,0.3%,938
689,17.6476391942,-16.0364562372,1129.223,973.24,665223.9,973.24,665224.4,0.1,0.1%,939
690,17.6468049184,-16.0275399908,1127.639,990.69,666214.6,990.7,666215.1,0.1,0.2%,940
691,17.6481439529,-16.0190879896,1129.468,946.2,667160.8,946.21,667161.3,0.1,0.2%,941
692,17.6450145858,-16.0115607684,1129.049,897.77,668058.6,897.77,668059.1,0.0,0.0%,943
693,17.6384827997,-16.0052885042,1129.463,985.13,669043.7,985.13,669044.2,0.0,0.0%,944
694,17.6346630600,-15.9986482232,1130.11,840.89,669884.6,840.89,669885.1,0.0,0.1%,946
695,17.6396168478,-15.9909863983,1131.406,1000,670884.6,1000,670885.1,0.1,0.1%,946
696,17.6433157797,-15.9827429224,1129.001,994.43,671879,994.44,671879.5,0.1,0.2%,947
697,17.6435975134,-15.9738719937,1131.965,982.11,672861.1,982.11,672861.7,0.2,0.3%,948
698,17.6383514870,-15.9666529691,1131.518,976.49,673837.6,976.49,673838.1,0.0,0.0%,950
699,17.6301707431,-15.9622907795,1131.21,1000,674837.6,1000,674838.1,0.0,0.0%,950
700,17.6229047699,-15.9568066599,1131.256,986.59,675824.2,986.59,675824.7,0.0,0.0%,951
701,17.6182939172,-15.9492718843,1131.592,968.95,676793.2,968.95,676793.7,0.0,0.0%,952
702,17.6186596311,-15.9405128118,1130.328,970.05,677763.2,970.05,677763.7,0.1,0.1%,954
703,17.6245512686,-15.9339413962,1131.358,962.66,678725.9,962.66,678726.4,0.1,0.1%,955
704,17.6303415871,-15.9270122445,1130.959,986.05,679711.9,986.05,679712.4,0.0,0.0%,957
705,17.6326284422,-15.9182504934,1133.851,1000,680711.9,1000,680712.5,0.2,0.3%,957
706,17.6276077753,-15.9110286008,1133.176,963.16,681675.1,963.16,681675.6,0.0,0.1%,959
707,17.6187842518,-15.9087091082,1134.278,979.08,682654.2,979.09,682654.7,0.1,0.1%,960
708,17.6116520528,-15.9046141726,1131.385,888.05,683542.2,888.06,683542.8,0.2,0.3%,962
709,17.6095880850,-15.8958008037,1132.872,1000,684542.2,1000,684542.8,0.1,0.1%,962
710,17.6075241172,-15.8869874347,1130.907,1000,685542.2,1000,685542.8,0.1,0.2%,962
711,17.6054324693,-15.8781850336,1131.234,999.48,686541.7,999.48,686542.2,0.0,0.0%,963
712,17.5993038283,-15.8717679905,1135.507,966.99,687508.7,967,687509.2,0.3,0.4%,964
713,17.5914539406,-15.8669632191,1133.249,994.76,688503.4,994.76,688504,0.1,0.2%,965
714,17.5842408259,-15.8612254085,1132.825,1000,689503.4,1000,689504,0.0,0.0%,965
715,17.5791316427,-15.8538043569,1132.139,986.83,690490.3,986.83,690490.8,0.0,0.1%,966
716,17.5759758400,-15.8456516525,1133.845,963.4,691453.7,963.41,691454.2,0.1,0.2%,968
717,17.5823580423,-15.8409697338,1134.667,857.78,692311.5,857.78,692312,0.1,0.1%,969
718,17.5873695407,-15.8351898528,1135.58,835.02,693146.5,835.02,693147,0.1,0.1%,971
719,17.5801974034,-15.8303336683,1133.231,937.58,694084.1,937.58,694084.6,0.1,0.3%,972
720,17.5732784699,-15.8248072665,1135.208,960.91,695045,960.91,695045.5,0.1,0.2%,974
721,17.5705964895,-15.8161513732,1134.652,1000,696045,1000,696045.5,0.0,0.1%,974
722,17.5674273942,-15.8077171030,1135.399,993.15,697038.1,993.15,697038.7,0.0,0.1%,975
723,17.5616134860,-15.8009008386,1134.325,978.22,698016.3,978.22,698016.9,0.1,0.1%,976
724,17.5532514902,-15.7968862989,1136.206,1000,699016.3,1000,699016.9,0.1,0.2%,976
725,17.5474446341,-15.7901092009,1135.836,974.42,699990.7,974.42,699991.3,0.0,0.0%,978
726,17.5456585386,-15.7812392603,1136.616,1000,700990.7,1000,700991.3,0.0,0.1%,978
727,17.5432295436,-15.7725597250,1138.623,995.09,701985.8,995.09,701986.4,0.1,0.2%,979
728,17.5369068621,-15.7669522679,1136.866,918.72,702904.6,918.72,702905.1,0.1,0.2%,980
729,17.5286250594,-15.7631014566,1138.606,984.47,703889,984.47,703889.6,0.1,0.2%,981
730,17.5228105184,-15.7561124932,1139.008,993.15,704882.2,993.15,704882.7,0.0,0.0%,982
731,17.5179618761,-15.7483912214,1137.469,1000,705882.2,1000,705882.7,0.1,0.2%,982
732,17.5117189111,-15.7418197602,1138.021,988.13,706870.3,988.14,706870.9,0.0,0.1%,983
