Name,Grid
"Kaaikop R.","F6"
"Kaan R.","F6"
"Kabbe","N1"
"Kabere","B2"
"Kadoab R.","D5"
"Kaes R.","I11"
"Kaffer R.","H9"
"Kaguni","H1"
"Kahenge","H1"
"Kainab R.","H11"
"Kainab R.","I12"
"Kainamatoje R.","G6"
"Kaizab R.","H9"
"Kakatswa R.","D3"
"Kalengwe R.","N1"
"Kalf R.","G7"
"Kalkfeld","F4"
"Kalkhaute R.","G7"
"Kalkrand","G8"
"Kalkrand Pan","G7"
"Kaltenhausenberg","E6"
"Kam R.","F8"
"Kamanjab","D3"
"Kamanjab R.","D3"
"Kamaseb R.","F8"
"Kamberge","E7"
"Kameel R.","G10"
"Kameel R.","G11"
"Kameel R.","I12"
"Kamidamab R.","G8"
"Kamkas R.","F8"
"Kamupupu","H1"
"Kanas R.","G10"
"Kandjara","J2"
"Kanebis R.","G11"
"Kangas","G7"
"Kangongo","K1"
"Kangundja","K2"
"Kangus R.","H10"
"Kanibes R.","G9"
"Kanis R.","F11"
"Kankudi","H1"
"Kannenberg R.","I10"
"Kanoma R.","F5"
"Kanono","N1"
"Kanovlei","I3"
"Kanovlei","I3"
"Kaoab R.","G8"
"Kaoko Otavi","C2"
"Kaokoveld","B2"
"Kapako","I1"
"Karakuta","J1"
"Karanas","F7"
"Karasburg","H12"
"Karibib","E5"
"Karibib R.","F8"
"Karingarab","F12"
"Karubeamsberge","G7"
"Karuhiva R.","E5"
"Karukuvisa","I2"
"Kasara","H1"
"Sand R.","F10"
"Sand R.","G8"
"Sandamap R.","E5"
"Sandsteenberg","E7"
"Sandwich Harbour","D7"
"Sandwich Harbour Ramsar Site","D7"
"Sangwali","M2"
"Sanitatas","B2"
"Sauyemwa","I1"
"Sawurogab R.","C3"
"Schakalberg","F12"
"Schlangen R.","F6"
"Schlesien","E7"
"Schlip","G8"
"Schlip R.","F7"
"Schrooenstein","H11"
"Schwabental","G10"
"Sandamap R.","E5"
"Schwarze Kuppen","C2"
"Seabird Guano Mine","D5"
"Seal Is.","E10"
"Sechomib R.","B2"
"Sekretarispan","G8"
"Seeheim","G10"
"Seeis","G6"
"Seeis R.","G6"
"Sendelingsdrift","F12"
"Sesfontein","C3"
"Sesheke","M1"
"Sesriem","E8"
"Sha Nkanga Pan","D1"
"Shadikongoro","I2"
"Shaditunda","K2"
"Shallow Breakers","C4"
"Shamaturu","K2"
"Shambyu","J1"
"Shamunaro","K2"
"Shamurombwe","K2"
"Shanondho","K2"
"Sharukwe","I2"
"Shighuru","J1"
"Shinyungwe","J2"
"Shishidjo","J2"
"Shitemo","J1"
"Sibbinda","M1"
"Sifuha","N1"
"Sikarosompo","H1"
"Sikereti","J3"
"Siko","H1"
"Silikunga","H1"
"Silumbi","N1"
"Simanya","H1"
"Sinclair Is.","E11"
"Singalamwe","M1"
"Sinzogoro","I1"
"Sisungu","I2"
"Skaap R.","G7"
"Skaap R.","G10"
"Skeleton Coast National Park","B2"
"Skilderkop","E6"
"Skorpion Zinc Mine","F11"
"Slaaipoort","F7"
"Slang R.","F5"
"Slangkoppies","H10"
"Sney R.","F5"
"Snyfontein","G10"
"Solitaire","F7"
"Sossusvlei","E8"
"Sout R.","D4"
"Spencer Bay","D9"
"Sperrgebiet Diamond Mining","E10"
"Spitskop R.","D5"
"Spitzkoppe","E5"
"Springbok R.","C4"
"Sprokieswoud","E3"
"Sputloop R.","G11"
"Sputoop R.","G11"
"St. Francis Bay","D9"
"St. Michael’s Mission","E3"
"Stampriet","H8"
"Stampriet R.","H10"
"Staple Rocks","D10"
"Steenboklaagte R.","J5"
"Steilrand Mts","C1"
"Steinhausen","H5"
"Stolshoek","I5"
"Thipanana","K2"
"Sturmhaube","E10"
"Sugarloaf Hill","C4"
"Summerdown","H5"
"Swakop R.","D6"
"Swakopmund","D6"
"Swakopmund Guano Mine","D5"
"Swakoppoort Dam","F6"
"Swarskaap R.","F7"
"Swart Gausob R.","H11"
"Swart Kaitsaib R.","G9"
"Swartbooisdrif","C1"
"Swartkloofberge","F11"
"Swartmodder R.","F7"
"Swartput se Pan","I10"
"Sylvia Hill","D9"
"Tafelberg","G12"
"Talismanis","J5"
"Tamtam","I2"
"Tandjieskoppe","G12"
"Tantalite Valley","H12"
"Taratara","J2"
"Tclabasche R.","J2"
"Terrace Bay","C4"
"Theronsvallei","J4"
"Thipanana","K2"
"Thilda Viljoen Dam","H6"
"Tinkas R.","E6"
"Tinkasvlakte","E6"
"Tioba R.","H1"
"Tirasberge","F10"
"Tjeye","J1"
"Tjohwa","H1"
"Tjova","K1"
"Toanib R.","E6"
"Toasis Pan","I7"
"Tomakas","C2"
"Tondoro","H1"
"Thilda Viljoen Dam","H6"
"Tönnesenberg","C2"
"Torra Bay","C4"
"Torra Bay Salt Pan","C4"
"Toscanini","C4"
"Tsabiams","E11"
"Sandamap R.","E5"
"Tsachanabis R.","F10"
"Tsamvlakte","F10"
"Tschudi Mine","G3"
"Tsintsabis","G2"
"Tslab R.","D5"
"Tsondab R.","E7"
"Tsondabvlei","E7"
"Tsub R.","G8"
"Tsumeb","G3"
"Tsumis","G7"
"Tsumis R.","G7"
"Tsumis-Park","G7"
"Tsumkwe","J3"
"Tsuxab R.","C3"
"Tubusis","E5"
"Tuguva","H1"
"Tumas R.","D6"
"Tumasvlakte","E7"
"Tumaub","F10"
"Tweeputte","J3"
"Twyfelfontein","D4"
"Twyfelspruit","E4"
"Ubabis R.","G12"
"Ubiam R.","G8"
"Ubib Dam","H12"
"Ubib R.","E7"
"Udabis R.","I12"
"Ugab R.","D4"
"Ugabmond","C5"
"Uguchab R.","F11"
"Ugunaris R.","H10"
"Uhlenhorst","G7"
"Uibis","G8"
"Uigaran","E5"
"Uis","D5"
"Uis R.","D5"
"Uis Tin Mine","D5"
"Uisberge","D5"
"Uisib","G7"
"Ukama R.","E10"
"Umbakana R.","F4"
"Umbujosam R.","F5"
"Umgab R.","F8"
"Uniab R.","C4"
"Uniabmond","C4"
"Uramin Mine","D6"
"Uri-Hauchab","E9"
"Urundu R.","E4"
"Ururas R.","C2"
"Usakos","E5"
"Usib R.","G6"
"Usivi","H1"
"Uukango","F1"
"Uukwangula","E1"
"Uukwiyuushona","E2"
"Uutsathima","D2"
"Vaalput R.","H11"
"Vaalwater","G2"
"Van Rhijn Dam","H10"
"Velloor R.","I12"
"Velloorsdrif","I12"
"Verbrandeberg","D4"
"Vet R.","I10"
"Vingerklip","E4"
"Von Bach Dam","F5"
"Von Bach Game Park","F6"
"Von Franscois Fort","F6"
"Waldau R.","F5"
"Waldfrieden","F5"
"Walvis Bay","D6"
"Walvis Bay Ramsar Site","D6"
"Walvis Bay Salt Marsh","D6"
"Warmbad","H12"
"Warmquelle","C3"
"Waterberg Mtn","G4"
"Waterberg Plateau Park","G4"
"Waterberg R.","G4"
"Watervat R.","E7"
"Weissenfels","F7"
"Weissrand Plateau","H9"
"Werda","D3"
"Werda","G2"
"Whale Rock Mine","F4"
"White Hills","B1"
"White Lady","D5"
"White Nossob R.","H6"
"Wildehond R.","E6"
"Wilhelmstal","F5"
"Windhoek","G6"
"Wit Gausob R.","H11"
"Witberg","E8"
"Witberg R.","E7"
"Witvlei","H6"
"Witvleispruit","H8"
"Witwater R.","E6"
"Wlotzkasbaken","D6"
"Wolf Bay","E10"
"Wolf Pan","I7"
"Wortel R.","H10"
"Xaraxab R.","H6"
"Xawashe","J3"
"Xeidang","J2"
"Yakandonga R.","F4"
"Yinsu","H1"
"Zambezi Region","M1"
"Zambezi R.","N1"
"Zamnarib R.","G8"
"Zebra Mts","C1"
"Zebra R.","F8"
"Zone","H1"
"Zweikuppenberg","E10"
