"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
365,14.3782992215,-17.3157806328,1030.523,986.32,350623.6,986.33,350645.1,0.3,0.5%,352
366,14.3865874708,-17.3120662856,1041.353,972.28,351595.9,972.34,351617.4,0.6,1.1%,353
367,14.3958263955,-17.3106290750,1047.326,994.97,352590.9,994.99,352612.4,0.3,0.6%,354
368,14.4051438836,-17.3114560350,1049.104,994.75,353585.6,994.75,353607.1,0.1,0.2%,355
369,14.4143959406,-17.3130873720,1049.895,1000,354585.6,1000,354607.1,0.0,0.1%,356
370,14.4236578409,-17.3128326928,1048.492,985.01,355570.6,985.01,355592.1,0.1,0.1%,357
371,14.4324916497,-17.3097723211,1056.769,998.32,356568.9,998.35,356590.5,0.5,0.8%,358
372,14.4411920275,-17.3063439833,1057.308,999.74,357568.7,999.74,357590.2,0.0,0.1%,359
373,14.4498153052,-17.3027348077,1064.666,1000,358568.7,1000,358590.3,0.4,0.7%,359
374,14.4586354282,-17.2996450853,1067.506,998.11,359566.8,998.11,359588.4,0.2,0.3%,360
375,14.4676545315,-17.2970804501,1072.097,1000,360566.8,1000,360588.4,0.3,0.5%,360
376,14.4768885209,-17.2955733046,1077.031,995.8,361562.6,995.81,361584.2,0.3,0.5%,361
377,14.4862492014,-17.2946896261,1084.123,1000,362562.6,1000,362584.2,0.4,0.7%,361
378,14.4956116427,-17.2946964654,1091.511,995.4,363558,995.42,363579.7,0.4,0.7%,362
379,14.5049739463,-17.2955600740,1092.534,999.96,364557.9,999.96,364579.6,0.1,0.1%,363
380,14.5141241014,-17.2960426493,1092.626,974.29,365532.2,974.29,365553.9,0.0,0.0%,364
381,14.5218542383,-17.2910197750,1093.797,992.2,366524.4,992.2,366546.1,0.1,0.1%,365
382,14.5287774635,-17.2849036474,1095.941,1000,367524.4,1000,367546.1,0.1,0.2%,365
383,14.5371570086,-17.2809732041,1097.728,991.47,368515.9,991.47,368537.6,0.1,0.2%,366
384,14.5465509223,-17.2808925369,1096.284,998.86,369514.8,998.86,369536.4,0.1,0.1%,367
385,14.5506787450,-17.2881478383,1096.665,915.08,370429.8,915.08,370451.5,0.0,0.0%,369
386,14.5547107003,-17.2950253518,1097.16,873.56,371303.4,873.56,371325.1,0.0,0.1%,371
387,14.5626223904,-17.2987757287,1102,937.98,372241.4,937.99,372263.1,0.3,0.5%,373
388,14.5712480813,-17.2965020622,1101.915,950.95,373192.3,950.95,373214,0.0,0.0%,376
389,14.5722035580,-17.3053405347,1101.95,983.44,374175.8,983.44,374197.5,0.0,0.0%,377
390,14.5775890094,-17.3126349549,1102.044,989.7,375165.5,989.7,375187.2,0.0,0.0%,378
391,14.5798856603,-17.3212820401,1102.918,987.65,376153.1,987.65,376174.8,0.1,0.1%,379
392,14.5816435451,-17.3301585249,1102.377,1000,377153.1,1000,377174.8,0.0,0.1%,379
393,14.5872373766,-17.3369106398,1104.118,954.97,378108.1,954.97,378129.8,0.1,0.2%,381
394,14.5938810746,-17.3348061778,1102.739,743.6,378851.7,743.6,378873.4,0.1,0.2%,383
395,14.5958927388,-17.3263608510,1102.661,958.82,379810.5,958.82,379832.2,0.0,0.0%,384
396,14.5941605346,-17.3175179758,1103.198,995.84,380806.4,995.84,380828,0.0,0.1%,385
397,14.5921684372,-17.3087109866,1102.052,997.43,381803.8,997.43,381825.5,0.1,0.1%,386
398,14.5949051311,-17.3002542455,1102.3,980.11,382783.9,980.11,382805.6,0.0,0.0%,387
399,14.6024711271,-17.2951959123,1102.405,980.02,383763.9,980.02,383785.6,0.0,0.0%,388
